Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
Data Engineer,Perth,IBM,116463,112000,121000,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,$10+ billion (USD),3.7,67.0,39.0,4.0,3.5,4.1,3.6,4.1,Western Australia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Consultant,Perth,Deloitte,81216,68000,97000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Postdoctoral Research Fellow,Perth,CSIRO,93500,89000,98000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
System Test Engineer,Perth,CSIRO,92500,87000,98000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Environmental Scientist,Perth,AECOM,74023,61000,90000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$10+ billion (USD),3.7,73.0,802.0,3.7,3.4,3.6,3.3,3.5,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geologist,Leonora,St Barbara Limited,156691,144000,171000,51 to 200 Employees,Company - Public,"Energy, Mining, Utilities",Mining & Metals,$500 million to $1 billion (USD),3.4,34.0,4.0,2.9,3.5,3.1,2.6,3.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visualisation Specialist,Perth,CSIRO,106500,102000,111000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Architect,Perth,CSIRO,128047,118000,138000,5001 to 10000 Employees,Government,Government & Public Administration,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,145.0,3.4,3.4,3.5,3.0,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Category Manager,Perth,Accenture,125921,110000,145000,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$10+ billion (USD),3.9,76.0,245.0,4.0,3.4,3.8,3.4,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Manager,Perth,Deloitte,87327,76000,100000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Technical Analyst,Perth,Curtin University of Technology,75986,73000,79000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,$500 million to $1 billion (USD),4.1,88.0,62.0,3.6,4.1,4.0,3.6,3.9,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Lead Analytics Consultant,Perth,Techtronic Industries (TTI),181275,168000,196000,10000+ Employees,Company - Private,Manufacturing,Consumer Product Manufacturing,$10 to $25 million (USD),3.5,64.0,789.0,3.8,3.9,3.5,3.4,3.7,Western Australia,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
Data Scientist,Perth,GHD,97279,92000,103000,5001 to 10000 Employees,Company - Private,Management & Consulting,Business Consulting,$1 to $2 billion (USD),3.7,74.0,362.0,3.6,3.1,3.7,3.4,3.5,Western Australia,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
