work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,over average salary
2021,SE,FT,Data Science Manager,US,100,US,L,1
2022,SE,FT,Machine Learning Engineer,US,100,US,M,1
2022,MI,FT,Data Engineer,ES,100,ES,M,0
2022,SE,FT,Data Architect,US,100,US,M,1
2021,EN,FT,Business Data Analyst,LU,100,LU,L,0
2020,EN,FT,Data Analyst,US,100,US,L,0
2020,MI,FT,Data Science Consultant,US,100,US,L,0
2021,MI,FT,Financial Data Analyst,US,100,US,L,1
2022,MI,FT,Data Engineer,GB,0,GB,M,1
2020,MI,FT,Lead Data Analyst,US,100,US,L,0
2021,EN,FT,Data Science Consultant,DE,50,DE,L,0
2020,SE,FT,Data Scientist,US,50,US,L,1
2020,SE,FT,Data Scientist,US,100,US,L,1
2021,SE,FT,Data Analyst,US,100,US,L,1
2022,MI,FT,Machine Learning Scientist,US,100,US,L,1
2022,MI,FT,Data Analyst,GR,100,GR,S,0
2022,SE,FT,Data Analytics Manager,US,100,US,M,1
2021,SE,FT,Lead Data Engineer,PR,50,US,S,1
2022,SE,FT,Data Engineer,US,100,US,L,1
2022,EX,FT,Head of Machine Learning,IN,50,IN,L,0
2021,MI,CT,ML Engineer,US,100,US,L,1
2020,EN,PT,ML Engineer,DE,100,DE,S,0
2022,SE,FT,Machine Learning Engineer,US,0,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Applied Machine Learning Scientist,US,50,US,L,1
2020,MI,FT,Lead Data Scientist,AE,0,AE,L,1
2022,MI,FT,Data Engineer,GR,100,GR,M,0
2022,MI,FT,Data Scientist,GB,0,GB,M,0
2021,MI,FT,Data Engineer,US,100,US,L,1
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Machine Learning Engineer,AE,100,AE,S,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Scientist,BR,100,US,M,0
2022,MI,FT,Principal Data Analyst,CA,100,CA,S,0
2021,EN,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Data Engineer,US,0,US,M,1
2020,EN,FT,Data Scientist,DE,0,DE,S,0
2021,SE,FT,Research Scientist,CA,50,CA,L,0
2021,MI,FT,Data Scientist,CL,100,CL,L,0
2021,SE,FT,Machine Learning Engineer,US,100,US,L,1
2021,MI,FT,Data Scientist,IN,0,IN,S,0
2022,EN,PT,Data Scientist,DZ,50,DZ,M,0
2022,MI,FT,Data Analyst,US,100,US,M,1
2022,MI,FT,Data Engineer,ES,100,ES,M,0
2022,MI,FT,Data Scientist,GB,0,GB,M,0
2020,MI,FT,Data Scientist,DE,0,DE,L,0
2021,SE,FT,Data Scientist,CA,100,CA,S,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,SE,FT,Principal Data Analyst,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2021,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,L,0
2021,SE,FT,Data Science Manager,US,100,US,L,1
2020,EN,FT,Data Analyst,US,100,US,L,0
2021,MI,FT,Data Scientist,US,50,US,L,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,MI,FT,Data Engineer,GB,0,GB,M,0
2022,MI,FT,Data Scientist,US,0,US,M,1
2022,MI,FT,Data Analyst,GB,0,GB,M,0
2020,MI,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2020,SE,FT,Data Engineer,US,100,US,L,1
2022,MI,FT,Data Scientist,US,100,US,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,MI,FT,Data Analyst,US,100,US,M,1
2021,MI,FT,Big Data Engineer,ES,50,RO,M,0
2021,SE,FT,Head of Data,SI,100,SI,L,0
2022,MI,FT,Data Science Manager,US,100,US,M,1
2022,MI,FT,Data Engineer,GB,100,GB,M,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2021,EN,FT,Data Scientist,FR,50,FR,L,0
2022,MI,FT,Data Engineer,FR,100,FR,M,0
2021,EN,FT,Data Engineer,US,100,US,L,0
2022,MI,FT,Data Scientist,GB,0,GB,M,0
2022,SE,FT,Data Architect,US,100,US,M,1
2021,SE,FT,Data Analytics Manager,US,0,US,L,1
2022,EN,FT,Data Scientist,CA,100,CA,L,0
2021,MI,FT,Data Scientist,IN,0,IN,M,0
2022,SE,FT,Data Scientist,US,100,US,M,0
2021,EN,FT,Big Data Engineer,IN,0,CH,L,0
2022,MI,FT,Data Scientist,IN,100,IN,L,0
2021,EN,FT,Data Analyst,US,100,US,S,0
2022,MI,FT,Machine Learning Infrastructure Engineer,PT,50,PT,L,0
2022,SE,FT,Data Analyst,US,0,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2022,SE,FT,Machine Learning Engineer,NL,100,NL,L,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2020,MI,FT,Machine Learning Infrastructure Engineer,PT,0,PT,M,0
2022,MI,FT,Data Analyst,CA,0,CA,M,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,BI Data Analyst,US,100,US,M,0
2022,MI,FT,Machine Learning Engineer,AU,100,AU,L,0
2021,SE,FT,Data Science Manager,US,0,US,L,1
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,EX,FT,BI Data Analyst,IN,100,US,L,1
2022,SE,FT,Data Analyst,US,0,US,M,1
2022,EN,FT,Data Engineer,US,100,US,S,0
2022,SE,FT,Analytics Engineer,US,0,US,M,1
2022,MI,FT,Business Data Analyst,CA,50,CA,L,0
2021,MI,FT,Data Scientist,CA,100,CA,L,0
2020,SE,FT,Data Scientist,GR,100,US,L,0
2020,MI,FT,Data Analyst,PK,50,PK,L,0
2022,MI,FT,Machine Learning Scientist,US,50,US,M,1
2022,SE,FT,Data Science Manager,US,100,US,M,1
2021,SE,FT,Data Engineer,US,100,US,S,1
2021,MI,FT,Data Scientist,MX,0,MX,S,0
2022,SE,FT,Research Scientist,US,50,US,L,1
2022,SE,FT,Data Analyst,US,0,US,M,0
2021,MI,FT,Data Engineer,US,100,US,L,0
2022,SE,FT,Data Engineer,US,100,US,M,0
2021,MI,FT,Data Analyst,US,100,US,L,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2020,MI,FT,Data Engineer,AT,50,AT,L,0
2022,MI,FT,Data Engineer,GB,100,GB,M,0
2021,EX,CT,Principal Data Scientist,US,100,US,S,1
2021,EN,FT,Data Analyst,US,100,US,S,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2021,MI,FT,Data Analyst,US,100,US,L,0
2020,SE,FT,Big Data Engineer,PL,100,GB,S,1
2022,EX,FT,Head of Data Science,US,100,US,M,1
2021,MI,FT,Data Scientist,SG,100,IL,M,1
2022,MI,FT,Data Engineer,US,0,US,M,1
2022,MI,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Machine Learning Engineer,US,100,US,M,1
2020,MI,FT,Data Analyst,FR,50,FR,L,0
2022,MI,FT,ETL Developer,GR,0,GR,M,0
2022,MI,FT,Applied Machine Learning Scientist,BO,100,US,L,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,SE,FT,Data Engineer,US,0,US,M,0
2021,SE,FT,Principal Data Engineer,US,100,US,L,1
2021,MI,FL,Data Engineer,IT,0,US,L,0
2020,SE,FT,Machine Learning Engineer,HR,100,HR,S,0
2020,EN,FT,Data Scientist,FR,0,FR,S,0
2021,EN,FT,Machine Learning Engineer,US,50,US,S,0
2021,EX,FT,Principal Data Engineer,US,100,US,L,1
2021,SE,FT,Data Analyst,DE,50,DE,L,0
2021,MI,FT,Data Analyst,US,0,US,L,0
2021,EX,FT,Director of Data Science,US,0,US,L,1
2022,MI,FT,Data Engineer,GB,0,GB,M,0
2022,MI,FT,Data Scientist,CH,0,CH,L,1
2022,SE,FT,Applied Data Scientist,US,100,US,L,1
2022,SE,FT,Data Engineer,US,100,US,L,1
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,MI,FT,Data Analyst,US,0,US,S,0
2021,SE,FT,Machine Learning Engineer,BE,50,BE,M,0
2022,SE,FT,Data Analyst,CA,100,CA,M,1
2022,SE,FT,Analytics Engineer,US,0,US,M,1
2022,SE,FT,Data Engineer,US,0,US,M,1
2021,MI,FT,Data Engineer,IR,100,IR,M,0
2021,MI,FT,Applied Machine Learning Scientist,VN,100,US,M,0
2021,MI,FT,Data Engineer,US,100,US,L,1
2020,EN,FT,Data Analyst,NG,100,NG,S,0
2022,SE,FT,Machine Learning Developer,CA,100,CA,M,0
2022,SE,FT,Data Scientist,US,0,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,1
2021,EX,FT,Director of Data Science,IT,100,PL,L,1
2021,SE,FT,Machine Learning Scientist,US,100,CA,L,1
2020,MI,FT,Lead Data Engineer,PT,100,US,M,0
2021,EN,FT,Research Scientist,GB,50,GB,L,0
2022,MI,FT,Data Engineer,US,0,US,M,0
2021,SE,FT,Data Scientist,FR,50,FR,L,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,EX,FT,Director of Data Science,CA,50,CA,L,1
2021,MI,FT,Data Scientist,RS,100,DE,S,0
2020,MI,FT,Data Scientist,PH,100,US,S,0
2022,SE,FT,Data Scientist,US,0,US,L,1
2021,EX,FT,Head of Data,RU,50,RU,L,1
2021,SE,FT,Machine Learning Engineer,DE,50,DE,L,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Analyst,US,0,US,M,0
2020,MI,FT,Data Scientist,US,100,US,L,0
2022,MI,FT,Applied Data Scientist,US,100,US,L,1
2020,EN,FT,Data Science Consultant,IN,50,IN,M,0
2020,MI,FT,Data Engineer,US,100,US,L,0
2021,EN,FT,Machine Learning Engineer,NL,100,DE,S,0
2022,MI,FT,Data Engineer,GB,100,GB,M,0
2021,SE,FT,Marketing Data Analyst,GR,100,DK,L,0
2021,EN,FT,Data Scientist,US,100,US,M,0
2021,MI,FT,Data Engineer,NL,100,NL,L,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2022,EN,FT,Data Engineer,US,100,US,M,1
2021,EN,FT,Data Scientist,FR,50,FR,M,0
2020,SE,FT,Machine Learning Scientist,JP,0,JP,S,1
2021,MI,FT,Data Scientist,DE,50,DE,L,0
2021,SE,FT,Computer Vision Engineer,BR,100,BR,M,0
2021,SE,FT,Data Engineer,GB,50,GB,L,0
2021,SE,CT,Staff Data Scientist,US,100,US,M,0
2022,EN,FT,Data Engineer,PK,100,DE,M,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Machine Learning Engineer,US,0,US,M,1
2021,SE,FT,Machine Learning Engineer,IN,0,IN,L,0
2021,SE,FT,Data Engineering Manager,US,0,US,L,1
2021,MI,FT,Data Engineer,GB,50,GB,L,0
2020,SE,FT,Data Engineer,MX,0,MX,S,0
2022,MI,FT,Data Analyst,GR,100,GR,M,0
2021,SE,FT,Principal Data Scientist,US,0,US,L,1
2022,SE,FT,Data Analyst,CA,100,CA,M,0
2021,SE,FT,Data Analyst,BG,100,US,S,0
2020,MI,FT,BI Data Analyst,US,0,US,M,0
2021,EN,FT,Data Analyst,US,100,US,M,0
2021,MI,FT,Principal Data Scientist,US,100,US,L,1
2021,MI,FT,Data Engineer,US,100,US,L,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,EX,FT,Data Analyst,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,MI,FT,Data Analyst,GB,100,GB,M,0
2022,SE,FT,Data Analyst,US,100,US,M,1
2021,MI,FT,Data Engineer,US,100,US,L,1
2022,SE,FT,Data Engineer,US,100,US,M,0
2021,SE,FT,ML Engineer,US,100,US,S,1
2022,MI,FT,Head of Data,EE,100,EE,S,0
2020,EN,FT,Machine Learning Engineer,US,50,US,L,1
2021,MI,FT,Data Analyst,US,100,US,L,1
2022,SE,FT,Data Engineer,US,100,US,M,0
2021,MI,FT,Research Scientist,CA,100,CA,M,0
2022,SE,FT,Data Scientist,US,100,US,M,1
2022,SE,FT,Data Engineer,US,100,US,M,1
2022,SE,FT,Data Analyst,US,100,US,M,1
2021,EN,FT,Data Engineer,DE,50,DE,M,0
2022,SE,FT,Data Engineer,US,100,US,M,1
2021,EN,FT,Data Science Consultant,DE,100,DE,S,0
2021,SE,FT,Data Analytics Engineer,DE,100,DE,L,0
